
Quadro extraído em 24 de Maio de 2021 (19:18:26)
http://www.ine.pt



Período de referência dos dados;Local de residência (NUTS - 2013) (1) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;1861202: Arronches;3136;1518;1618;
;1861203: Avis;4571;2181;2390;
;1861204: Campo Maior;8429;4091;4338;
;1861205: Castelo de Vide;3371;1609;1762;
;1861206: Crato;3660;1704;1956;
;1861207: Elvas;22890;10980;11910;
;1861208: Fronteira;3364;1598;1766;
;1861209: Gavião;4069;1927;2142;
;1861210: Marvão;3482;1707;1775;
;1861211: Monforte;3304;1535;1769;
;1861212: Nisa;7337;3479;3858;
;1861213: Ponte de Sor;16570;8006;8564;
;1861214: Portalegre;24602;11820;12782;
;1861215: Sousel;5016;2356;2660;
;187: Alentejo Central;165688;79670;86018;
;1870701: Alandroal;5787;2809;2978;
;1870702: Arraiolos;7373;3577;3796;
;1870703: Borba;7317;3608;3709;
;1870704: Estremoz;14186;6743;7443;
;1870705: Évora;56218;26613;29605;
;1870706: Montemor-o-Novo;17275;8364;8911;
;1870707: Mora;4893;2370;2523;
;1870708: Mourão;2644;1301;1343;
;1870709: Portel;6381;3139;3242;
;1870710: Redondo;6994;3407;3587;
;1870711: Reguengos de Monsaraz;10784;5259;5525;
;1870712: Vendas Novas;11857;5685;6172;
;1870713: Viana do Alentejo;5706;2763;2943;
;1870714: Vila Viçosa;8273;4032;4241;
;15: Algarve;446140;216150;229990;
;150: Algarve;446140;216150;229990;
;1500801: Albufeira;40351;19681;20670;
;1500802: Alcoutim;2816;1398;1418;
;1500803: Aljezur;5787;2851;2936;
;1500804: Castro Marim;6634;3282;3352;
;1500805: Faro;63617;30367;33250;
;1500806: Lagoa;22798;11147;11651;
;1500807: Lagos;30805;14855;15950;
;1500808: Loulé;69543;33693;35850;
;1500809: Monchique;5886;2935;2951;
;1500810: Olhão;45157;21872;23285;
;1500811: Portimão;55265;26506;28759;
;1500812: São Brás de Alportel;10558;5154;5404;
;1500813: Silves;36780;18245;18535;
;1500814: Tavira;25860;12522;13338;
;1500815: Vila do Bispo;5238;2594;2644;
;1500816: Vila Real de Santo António;19045;9048;9997;
;2: Região Autónoma dos Açores;247194;121693;125501;
;20: Região Autónoma dos Açores;247194;121693;125501;
;200: Região Autónoma dos Açores;247194;121693;125501;
;2004301: Angra do Heroísmo;35311;17183;18128;
;2004501: Calheta;3669;1829;1840;
;2004901: Corvo;431;239;192;
;2004701: Horta;15017;7324;7693;
;2004201: Lagoa;14506;7190;7316;
;2004801: Lajes das Flores;1520;795;725;
;2004601: Lajes do Pico;4707;2315;2392;
;2004602: Madalena;6027;2947;3080;
;2004202: Nordeste;4976;2476;2500;
;2004203: Ponta Delgada;68846;33539;35307;
;2004204: Povoação;6290;3066;3224;
;2004205: Ribeira Grande;32299;16293;16006;
;2004401: Santa Cruz da Graciosa;4409;2177;2232;
;2004802: Santa Cruz das Flores;2279;1120;1159;
;2004603: São Roque do Pico;3395;1681;1714;
;2004502: Velas;5379;2679;2700;
;2004302: Vila da Praia da Vitória;21268;10535;10733;
;2004101: Vila do Porto;5595;2708;2887;
;2004206: Vila Franca do Campo;11270;5597;5673;
;3: Região Autónoma da Madeira;264236;123754;140482;
;30: Região Autónoma da Madeira;264236;123754;140482;
;300: Região Autónoma da Madeira;264236;123754;140482;
;3003101: Calheta;11403;5133;6270;
;3003102: Câmara de Lobos;35192;16864;18328;
;3003103: Funchal;109990;50815;59175;
;3003104: Machico;21453;10370;11083;
;3003105: Ponta do Sol;8808;4024;4784;
;3003106: Porto Moniz;2643;1137;1506;
;3003201: Porto Santo;5385;2674;2711;
;3003107: Ribeira Brava;13144;5922;7222;
;3003108: Santa Cruz;43086;20799;22287;
;3003109: Santana;7543;3425;4118;
;3003110: São Vicente;5589;2591;2998;

População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual - INE, Estimativas anuais da população residente

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".

(2) Série Estimativas Provisórias Anuais da População Residente, segundo a divisão administrativa correspondente à Carta Administrativa Oficial de Portugal 2013 (CAOP2013) e a nova versão das NUTS (NUTS 2013) em vigor a partir de 1 de janeiro de 2015.



Última atualização destes dados: 15 de junho de 2020


Metainformação associada ao quadro

População residente (N.º)
Designação;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual
Periodicidade;Anual
Fonte;INE, Estimativas anuais da população residente
Primeiro período disponível;2011
Último período disponível;2019
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2013)
     Dimensão 3;Sexo
     Dimensão 4;Grupo etário
Conceitos
     GRUPO ETÁRIO;Intervalo de idade, em anos, no qual o indivíduo se enquadra, de acordo com o momento de referência
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
     PERÍODO DE REFERÊNCIA;Período de tempo a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;Valor estimado (Dem.)
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;15-Jun-2020
